crane,boom,cwt,radius,lift,capacity,location
13T Kato,24m,0,28.0,,13,Launceston
25T    Kato,31m,0,28.0,0.5,25,Hobart
25T Kato City,29m,0,28.0,,25,Hobart
35T Demag,37.4m,2.5T,28.0,0.7,35,Hobart
35T Demag,37.4m,5.5T,28.0,1.2,35,Hobart
40T Franna,Static,,28.0,,40,Hobart
40T Franna,Mobile,,28.0,,40,Hobart
40T Franna,,,28.0,,40,Hobart
60T Demag,44m,4.6T,28.0,1.3,60,Hobart
60T Demag,44m,11.6T,28.0,2.7,60,Hobart
60T Demag #2,50m,4.7T,28.0,1.7,60,Hobart
60T Demag #2,50m,12.1T,28.0,3.1,60,Hobart
100T Liehbherr,52m,11.5T,28.0,4.0,100,Hobart
100T Liehbherr,52m,35T,28.0,7.7,100,Hobart
220T Tadano,68m,0T,28.0,3.5,220,Hobart
220T Tadano,68m,23.5T,28.0,9.0,220,Hobart
220T Tadano,68m,47T,28.0,13.4,220,Hobart
220T Tadano,68m,71T,28.0,18.7,220,Hobart
250T Grove #2,70m,0T,28.0,2.3,250,Hobart
250T Grove #2,70m,16.5T,28.0,7.1,250,Hobart
250T Grove #2,70m,40T,28.0,11.4,250,Hobart
250T Grove #2,70m,80T,28.0,19.8,250,Hobart
300T Grove,80m,16.5T,28.0,7.7,300,Launceston
300T Grove,80m,35.5T,28.0,12.8,300,Launceston
300T Grove,80m,54.5T,28.0,16.7,300,Launceston
300T Grove,80m,74.5T,28.0,21.5,300,Launceston
300T Grove,80m,92.5T,28.0,24.5,300,Launceston
7T Tadpole,21m,,30.0,,7,Launceston
13T Kato,24m,,30.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,30.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,30.0,1.2,40,Launceston
55T Grove,43m,6.6T,30.0,1.2,55,Launceston
,43m,11.5T C/W,30.0,2.1,9999,Unknown
100T Grove,60m,4.5T C/W,30.0,2.0,100,Launceston
,60m,26.2T,30.0,5.7,9999,Unknown
150T Grove,60m,1T,30.0,1.6,150,Launceston
150T Grove,60m,26.3T,30.0,7.2,150,Launceston
150T Grove,60m,44.56T,30.0,10.6,150,Launceston
250T Grove,78.5m,0T,30.0,1.9,250,Launceston
250T Grove,78.5m,16.5T,30.0,5.8,250,Launceston
250T Grove,78.5m,40T,30.0,10.8,250,Launceston
250T Grove,78.5m,50T,30.0,12.8,250,Launceston
250T Grove,78.5,70T,30.0,16.3,250,Launceston
250T Grove,78.5m,80T,30.0,18.0,250,Launceston
300T Grove,80m,16.5T,30.0,6.5,300,Launceston
300T Grove,80m,35.5T,30.0,11.4,300,Launceston
300T Grove,80m,54.5T,30.0,15.0,300,Launceston
300T Grove,80m,74.5T,30.0,19.3,300,Launceston
300T Grove,80m,92.5T,30.0,22.5,300,Launceston
,,,30.0,,9999,Unknown
2.8T Maeda,8.5m,0,30.0,,2,Hobart
4T Maeda,16.4m,0,30.0,,4,Hobart
13T Kato,24m,0,30.0,,13,Launceston
25T    Kato,31m,0,30.0,,25,Hobart
25T Kato City,29m,0,30.0,,25,Hobart
35T Demag,37.4m,2.5T,30.0,,35,Hobart
35T Demag,37.4m,5.5T,30.0,1.0,35,Hobart
40T Franna,Static,,30.0,,40,Hobart
40T Franna,Mobile,,30.0,,40,Hobart
40T Franna,,,30.0,,40,Hobart
60T Demag,44m,4.6T,30.0,1.0,60,Hobart
60T Demag,44m,11.6T,30.0,2.3,60,Hobart
60T Demag #2,50m,4.7T,30.0,1.2,60,Hobart
60T Demag #2,50m,12.1T,30.0,2.5,60,Hobart
100T Liehbherr,52m,11.5T,30.0,3.3,100,Hobart
100T Liehbherr,52m,35T,30.0,6.9,100,Hobart
220T Tadano,68m,0T,30.0,2.9,220,Hobart
220T Tadano,68m,23.5T,30.0,7.9,220,Hobart
220T Tadano,68m,47T,30.0,11.9,220,Hobart
220T Tadano,68m,71T,30.0,16.8,220,Hobart
250T Grove #2,70m,0T,30.0,1.7,250,Hobart
250T Grove #2,70m,16.5T,30.0,5.5,250,Hobart
250T Grove #2,70m,40T,30.0,10.3,250,Hobart
250T Grove #2,70m,80T,30.0,17.7,250,Hobart
300T Grove,80m,16.5T,30.0,6.5,300,Launceston
300T Grove,80m,35.5T,30.0,11.4,300,Launceston
300T Grove,80m,54.5T,30.0,15.0,300,Launceston
300T Grove,80m,74.5T,30.0,19.3,300,Launceston
300T Grove,80m,92.5T,30.0,22.5,300,Launceston
7T Tadpole,21m,,32.0,,7,Launceston
13T Kato,24m,,32.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,32.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,32.0,1.0,40,Launceston
55T Grove,43m,6.6T,32.0,1.0,55,Launceston
,43m,11.5T C/W,32.0,1.8,9999,Unknown
100T Grove,60m,4.5T C/W,32.0,1.6,100,Launceston
,60m,26.2T,32.0,5.0,9999,Unknown
150T Grove,60m,1T,32.0,1.1,150,Launceston
150T Grove,60m,26.3T,32.0,6.2,150,Launceston
150T Grove,60m,44.56T,32.0,9.5,150,Launceston
250T Grove,78.5m,0T,32.0,1.4,250,Launceston
250T Grove,78.5m,16.5T,32.0,5.0,250,Launceston
250T Grove,78.5m,40T,32.0,9.6,250,Launceston
250T Grove,78.5m,50T,32.0,11.9,250,Launceston
250T Grove,78.5,70T,32.0,14.7,250,Launceston
250T Grove,78.5m,80T,32.0,16.8,250,Launceston
300T Grove,80m,16.5T,32.0,5.4,300,Launceston
300T Grove,80m,35.5T,32.0,10.3,300,Launceston
300T Grove,80m,54.5T,32.0,13.8,300,Launceston
300T Grove,80m,74.5T,32.0,17.3,300,Launceston
300T Grove,80m,92.5T,32.0,20.5,300,Launceston
,,,32.0,,9999,Unknown
2.8T Maeda,8.5m,0,32.0,,2,Hobart
4T Maeda,16.4m,0,32.0,,4,Hobart
13T Kato,24m,0,32.0,,13,Launceston
25T    Kato,31m,0,32.0,,25,Hobart
25T Kato City,29m,0,32.0,,25,Hobart
35T Demag,37.4m,2.5T,32.0,,35,Hobart
35T Demag,37.4m,5.5T,32.0,0.6,35,Hobart
40T Franna,Static,,32.0,,40,Hobart
40T Franna,Mobile,,32.0,,40,Hobart
40T Franna,,,32.0,,40,Hobart
60T Demag,44m,4.6T,32.0,0.7,60,Hobart
60T Demag,44m,11.6T,32.0,1.9,60,Hobart
60T Demag #2,50m,4.7T,32.0,1.0,60,Hobart
60T Demag #2,50m,12.1T,32.0,2.2,60,Hobart
100T Liehbherr,52m,11.5T,32.0,2.7,100,Hobart
100T Liehbherr,52m,35T,32.0,6.1,100,Hobart
220T Tadano,68m,0T,32.0,2.1,220,Hobart
220T Tadano,68m,23.5T,32.0,6.8,220,Hobart
220T Tadano,68m,47T,32.0,10.8,220,Hobart
220T Tadano,68m,71T,32.0,15.0,220,Hobart
250T Grove #2,70m,0T,32.0,1.1,250,Hobart
250T Grove #2,70m,16.5T,32.0,4.7,250,Hobart
250T Grove #2,70m,40T,32.0,9.5,250,Hobart
250T Grove #2,70m,80T,32.0,16.1,250,Hobart
300T Grove,80m,16.5T,32.0,5.4,300,Launceston
300T Grove,80m,35.5T,32.0,10.3,300,Launceston
300T Grove,80m,54.5T,32.0,13.8,300,Launceston
300T Grove,80m,74.5T,32.0,17.3,300,Launceston
300T Grove,80m,92.5T,32.0,20.5,300,Launceston
7T Tadpole,21m,,34.0,,7,Launceston
13T Kato,24m,,34.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,34.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,34.0,,40,Launceston
55T Grove,43m,6.6T,34.0,0.7,55,Launceston
,43m,11.5T C/W,34.0,1.4,9999,Unknown
100T Grove,60m,4.5T C/W,34.0,1.1,100,Launceston
,60m,26.2T,34.0,4.6,9999,Unknown
150T Grove,60m,1T,34.0,,150,Launceston
150T Grove,60m,26.3T,34.0,5.5,150,Launceston
150T Grove,60m,44.56T,34.0,8.2,150,Launceston
250T Grove,78.5m,0T,34.0,0.9,250,Launceston
250T Grove,78.5m,16.5T,34.0,4.2,250,Launceston
250T Grove,78.5m,40T,34.0,8.6,250,Launceston
250T Grove,78.5m,50T,34.0,10.1,250,Launceston
250T Grove,78.5,70T,34.0,13.8,250,Launceston
250T Grove,78.5m,80T,34.0,15.2,250,Launceston
300T Grove,80m,16.5T,34.0,4.5,300,Launceston
300T Grove,80m,35.5T,34.0,9.1,300,Launceston
300T Grove,80m,54.5T,34.0,12.4,300,Launceston
300T Grove,80m,74.5T,34.0,14.9,300,Launceston
300T Grove,80m,92.5T,34.0,18.6,300,Launceston
,,,34.0,,9999,Unknown
2.8T Maeda,8.5m,0,34.0,,2,Hobart
4T Maeda,16.4m,0,34.0,,4,Hobart
13T Kato,24m,0,34.0,,13,Launceston
25T    Kato,31m,0,34.0,,25,Hobart
25T Kato City,29m,0,34.0,,25,Hobart
35T Demag,37.4m,2.5T,34.0,,35,Hobart
35T Demag,37.4m,5.5T,34.0,,35,Hobart
40T Franna,Static,,34.0,,40,Hobart
40T Franna,Mobile,,34.0,,40,Hobart
40T Franna,,,34.0,,40,Hobart
60T Demag,44m,4.6T,34.0,,60,Hobart
60T Demag,44m,11.6T,34.0,1.4,60,Hobart
60T Demag #2,50m,4.7T,34.0,,60,Hobart
60T Demag #2,50m,12.1T,34.0,1.7,60,Hobart
100T Liehbherr,52m,11.5T,34.0,2.3,100,Hobart
100T Liehbherr,52m,35T,34.0,5.4,100,Hobart
220T Tadano,68m,0T,34.0,1.7,220,Hobart
220T Tadano,68m,23.5T,34.0,6.1,220,Hobart
220T Tadano,68m,47T,34.0,9.8,220,Hobart
220T Tadano,68m,71T,34.0,13.6,220,Hobart
250T Grove #2,70m,0T,34.0,,250,Hobart
250T Grove #2,70m,16.5T,34.0,4.0,250,Hobart
250T Grove #2,70m,40T,34.0,8.7,250,Hobart
250T Grove #2,70m,80T,34.0,14.3,250,Hobart
300T Grove,80m,16.5T,34.0,4.5,300,Launceston
300T Grove,80m,35.5T,34.0,9.1,300,Launceston
300T Grove,80m,54.5T,34.0,12.4,300,Launceston
300T Grove,80m,74.5T,34.0,14.9,300,Launceston
300T Grove,80m,92.5T,34.0,18.6,300,Launceston
7T Tadpole,21m,,36.0,,7,Launceston
13T Kato,24m,,36.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,36.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,36.0,,40,Launceston
55T Grove,43m,6.6T,36.0,,55,Launceston
,43m,11.5T C/W,36.0,1.0,9999,Unknown
100T Grove,60m,4.5T C/W,36.0,,100,Launceston
,60m,26.2T,36.0,3.9,9999,Unknown
150T Grove,60m,1T,36.0,,150,Launceston
150T Grove,60m,26.3T,36.0,4.8,150,Launceston
150T Grove,60m,44.56T,36.0,7.4,150,Launceston
250T Grove,78.5m,0T,36.0,,250,Launceston
250T Grove,78.5m,16.5T,36.0,3.5,250,Launceston
250T Grove,78.5m,40T,36.0,7.6,250,Launceston
250T Grove,78.5m,50T,36.0,9.0,250,Launceston
250T Grove,78.5,70T,36.0,12.5,250,Launceston
250T Grove,78.5m,80T,36.0,13.8,250,Launceston
300T Grove,80m,16.5T,36.0,3.7,300,Launceston
300T Grove,80m,35.5T,36.0,8.1,300,Launceston
300T Grove,80m,54.5T,36.0,11.1,300,Launceston
300T Grove,80m,74.5T,36.0,14.3,300,Launceston
300T Grove,80m,92.5T,36.0,16.9,300,Launceston
,,,36.0,,9999,Unknown
2.8T Maeda,8.5m,0,36.0,,2,Hobart
4T Maeda,16.4m,0,36.0,,4,Hobart
13T Kato,24m,0,36.0,,13,Launceston
25T    Kato,31m,0,36.0,,25,Hobart
25T Kato City,29m,0,36.0,,25,Hobart
35T Demag,37.4m,2.5T,36.0,,35,Hobart
35T Demag,37.4m,5.5T,36.0,,35,Hobart
40T Franna,Static,,36.0,,40,Hobart
40T Franna,Mobile,,36.0,,40,Hobart
40T Franna,,,36.0,,40,Hobart
60T Demag,44m,4.6T,36.0,,60,Hobart
60T Demag,44m,11.6T,36.0,1.0,60,Hobart
60T Demag #2,50m,4.7T,36.0,,60,Hobart
60T Demag #2,50m,12.1T,36.0,1.5,60,Hobart
100T Liehbherr,52m,11.5T,36.0,1.7,100,Hobart
100T Liehbherr,52m,35T,36.0,4.7,100,Hobart
220T Tadano,68m,0T,36.0,1.1,220,Hobart
220T Tadano,68m,23.5T,36.0,5.2,220,Hobart
220T Tadano,68m,47T,36.0,9.2,220,Hobart
220T Tadano,68m,71T,36.0,12.4,220,Hobart
250T Grove #2,70m,0T,36.0,,250,Hobart
250T Grove #2,70m,16.5T,36.0,3.4,250,Hobart
250T Grove #2,70m,40T,36.0,7.8,250,Hobart
250T Grove #2,70m,80T,36.0,12.9,250,Hobart
300T Grove,80m,16.5T,36.0,3.7,300,Launceston
300T Grove,80m,35.5T,36.0,8.1,300,Launceston
300T Grove,80m,54.5T,36.0,11.1,300,Launceston
300T Grove,80m,74.5T,36.0,14.3,300,Launceston
300T Grove,80m,92.5T,36.0,16.9,300,Launceston
7T Tadpole,21m,,38.0,,7,Launceston
13T Kato,24m,,38.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,38.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,38.0,,40,Launceston
55T Grove,43m,6.6T,38.0,,55,Launceston
,43m,11.5T C/W,38.0,0.7,9999,Unknown
100T Grove,60m,4.5T C/W,38.0,,100,Launceston
,60m,26.2T,38.0,3.7,9999,Unknown
150T Grove,60m,1T,38.0,,150,Launceston
150T Grove,60m,26.3T,38.0,4.3,150,Launceston
150T Grove,60m,44.56T,38.0,6.7,150,Launceston
250T Grove,78.5m,0T,38.0,,250,Launceston
250T Grove,78.5m,16.5T,38.0,3.0,250,Launceston
250T Grove,78.5m,40T,38.0,6.8,250,Launceston
250T Grove,78.5m,50T,38.0,8.3,250,Launceston
250T Grove,78.5,70T,38.0,11.4,250,Launceston
250T Grove,78.5m,80T,38.0,12.8,250,Launceston
300T Grove,80m,16.5T,38.0,3.0,300,Launceston
300T Grove,80m,35.5T,38.0,7.2,300,Launceston
300T Grove,80m,54.5T,38.0,10.0,300,Launceston
300T Grove,80m,74.5T,38.0,13.0,300,Launceston
300T Grove,80m,92.5T,38.0,14.8,300,Launceston
,,,38.0,,9999,Unknown
2.8T Maeda,8.5m,0,38.0,,2,Hobart
4T Maeda,16.4m,0,38.0,,4,Hobart
13T Kato,24m,0,38.0,,13,Launceston
25T    Kato,31m,0,38.0,,25,Hobart
25T Kato City,29m,0,38.0,,25,Hobart
35T Demag,37.4m,2.5T,38.0,,35,Hobart
35T Demag,37.4m,5.5T,38.0,,35,Hobart
40T Franna,Static,,38.0,,40,Hobart
40T Franna,Mobile,,38.0,,40,Hobart
40T Franna,,,38.0,,40,Hobart
60T Demag,44m,4.6T,38.0,,60,Hobart
60T Demag,44m,11.6T,38.0,0.7,60,Hobart
60T Demag #2,50m,4.7T,38.0,,60,Hobart
60T Demag #2,50m,12.1T,38.0,1.3,60,Hobart
100T Liehbherr,52m,11.5T,38.0,1.3,100,Hobart
100T Liehbherr,52m,35T,38.0,4.3,100,Hobart
220T Tadano,68m,0T,38.0,,220,Hobart
220T Tadano,68m,23.5T,38.0,4.6,220,Hobart
220T Tadano,68m,47T,38.0,8.7,220,Hobart
220T Tadano,68m,71T,38.0,11.3,220,Hobart
250T Grove #2,70m,0T,38.0,,250,Hobart
250T Grove #2,70m,16.5T,38.0,2.9,250,Hobart
250T Grove #2,70m,40T,38.0,7.0,250,Hobart
250T Grove #2,70m,80T,38.0,11.7,250,Hobart
300T Grove,80m,16.5T,38.0,3.0,300,Launceston
300T Grove,80m,35.5T,38.0,7.2,300,Launceston
300T Grove,80m,54.5T,38.0,10.0,300,Launceston
300T Grove,80m,74.5T,38.0,13.0,300,Launceston
300T Grove,80m,92.5T,38.0,14.8,300,Launceston
7T Tadpole,21m,,40.0,,7,Launceston
13T Kato,24m,,40.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,40.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,40.0,,40,Launceston
55T Grove,43m,6.6T,40.0,,55,Launceston
,43m,11.5T C/W,40.0,,9999,Unknown
100T Grove,60m,4.5T C/W,40.0,,100,Launceston
,60m,26.2T,40.0,3.3,9999,Unknown
150T Grove,60m,1T,40.0,,150,Launceston
150T Grove,60m,26.3T,40.0,3.8,150,Launceston
150T Grove,60m,44.56T,40.0,6.1,150,Launceston
250T Grove,78.5m,0T,40.0,,250,Launceston
250T Grove,78.5m,16.5T,40.0,2.5,250,Launceston
250T Grove,78.5m,40T,40.0,6.1,250,Launceston
250T Grove,78.5m,50T,40.0,7.9,250,Launceston
250T Grove,78.5,70T,40.0,10.4,250,Launceston
250T Grove,78.5m,80T,40.0,12.0,250,Launceston
300T Grove,80m,16.5T,40.0,2.3,300,Launceston
300T Grove,80m,35.5T,40.0,6.2,300,Launceston
300T Grove,80m,54.5T,40.0,8.7,300,Launceston
300T Grove,80m,74.5T,40.0,11.8,300,Launceston
300T Grove,80m,92.5T,40.0,13.9,300,Launceston
,,,40.0,,9999,Unknown
2.8T Maeda,8.5m,0,40.0,,2,Hobart
4T Maeda,16.4m,0,40.0,,4,Hobart
13T Kato,24m,0,40.0,,13,Launceston
25T    Kato,31m,0,40.0,,25,Hobart
25T Kato City,29m,0,40.0,,25,Hobart
35T Demag,37.4m,2.5T,40.0,,35,Hobart
35T Demag,37.4m,5.5T,40.0,,35,Hobart
40T Franna,Static,,40.0,,40,Hobart
40T Franna,Mobile,,40.0,,40,Hobart
40T Franna,,,40.0,,40,Hobart
60T Demag,44m,4.6T,40.0,,60,Hobart
60T Demag,44m,11.6T,40.0,0.5,60,Hobart
60T Demag #2,50m,4.7T,40.0,,60,Hobart
60T Demag #2,50m,12.1T,40.0,0.8,60,Hobart
100T Liehbherr,52m,11.5T,40.0,,100,Hobart
100T Liehbherr,52m,35T,40.0,3.7,100,Hobart
220T Tadano,68m,0T,40.0,,220,Hobart
220T Tadano,68m,23.5T,40.0,3.8,220,Hobart
220T Tadano,68m,47T,40.0,7.8,220,Hobart
220T Tadano,68m,71T,40.0,10.6,220,Hobart
250T Grove #2,70m,0T,40.0,,250,Hobart
250T Grove #2,70m,16.5T,40.0,2.2,250,Hobart
250T Grove #2,70m,40T,40.0,6.4,250,Hobart
250T Grove #2,70m,80T,40.0,10.1,250,Hobart
300T Grove,80m,16.5T,40.0,2.3,300,Launceston
300T Grove,80m,35.5T,40.0,6.2,300,Launceston
300T Grove,80m,54.5T,40.0,8.7,300,Launceston
300T Grove,80m,74.5T,40.0,11.8,300,Launceston
300T Grove,80m,92.5T,40.0,13.9,300,Launceston
7T Tadpole,21m,,42.0,,7,Launceston
13T Kato,24m,,42.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,42.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,42.0,,40,Launceston
55T Grove,43m,6.6T,42.0,,55,Launceston
,43m,11.5T C/W,42.0,,9999,Unknown
100T Grove,60m,4.5T C/W,42.0,,100,Launceston
,60m,26.2T,42.0,2.9,9999,Unknown
150T Grove,60m,1T,42.0,,150,Launceston
150T Grove,60m,26.3T,42.0,3.3,150,Launceston
150T Grove,60m,44.56T,42.0,5.5,150,Launceston
250T Grove,78.5m,0T,42.0,,250,Launceston
250T Grove,78.5m,16.5T,42.0,2.1,250,Launceston
250T Grove,78.5m,40T,42.0,5.5,250,Launceston
250T Grove,78.5m,50T,42.0,6.5,250,Launceston
250T Grove,78.5,70T,42.0,9.1,250,Launceston
250T Grove,78.5m,80T,42.0,10.3,250,Launceston
300T Grove,80m,16.5T,42.0,1.8,300,Launceston
300T Grove,80m,35.5T,42.0,5.5,300,Launceston
300T Grove,80m,54.5T,42.0,8.1,300,Launceston
300T Grove,80m,74.5T,42.0,10.8,300,Launceston
300T Grove,80m,92.5T,42.0,12.7,300,Launceston
,,,42.0,,9999,Unknown
2.8T Maeda,8.5m,0,42.0,,2,Hobart
4T Maeda,16.4m,0,42.0,,4,Hobart
13T Kato,24m,0,42.0,,13,Launceston
25T    Kato,31m,0,42.0,,25,Hobart
25T Kato City,29m,0,42.0,,25,Hobart
35T Demag,37.4m,2.5T,42.0,,35,Hobart
35T Demag,37.4m,5.5T,42.0,,35,Hobart
40T Franna,Static,,42.0,,40,Hobart
40T Franna,Mobile,,42.0,,40,Hobart
40T Franna,,,42.0,,40,Hobart
60T Demag,44m,4.6T,42.0,,60,Hobart
60T Demag,44m,11.6T,42.0,,60,Hobart
60T Demag #2,50m,4.7T,42.0,,60,Hobart
60T Demag #2,50m,12.1T,42.0,,60,Hobart
100T Liehbherr,52m,11.5T,42.0,,100,Hobart
100T Liehbherr,52m,35T,42.0,,100,Hobart
220T Tadano,68m,0T,42.0,,220,Hobart
220T Tadano,68m,23.5T,42.0,3.3,220,Hobart
220T Tadano,68m,47T,42.0,7.1,220,Hobart
220T Tadano,68m,71T,42.0,9.8,220,Hobart
250T Grove #2,70m,0T,42.0,,250,Hobart
250T Grove #2,70m,16.5T,42.0,1.5,250,Hobart
250T Grove #2,70m,40T,42.0,5.4,250,Hobart
250T Grove #2,70m,80T,42.0,9.0,250,Hobart
300T Grove,80m,16.5T,42.0,1.8,300,Launceston
300T Grove,80m,35.5T,42.0,5.5,300,Launceston
300T Grove,80m,54.5T,42.0,8.1,300,Launceston
300T Grove,80m,74.5T,42.0,10.8,300,Launceston
300T Grove,80m,92.5T,42.0,12.7,300,Launceston
7T Tadpole,21m,,44.0,,7,Launceston
13T Kato,24m,,44.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,44.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,44.0,,40,Launceston
55T Grove,43m,6.6T,44.0,,55,Launceston
,43m,11.5T C/W,44.0,,9999,Unknown
100T Grove,60m,4.5T C/W,44.0,,100,Launceston
,60m,26.2T,44.0,2.6,9999,Unknown
150T Grove,60m,1T,44.0,,150,Launceston
150T Grove,60m,26.3T,44.0,2.7,150,Launceston
150T Grove,60m,44.56T,44.0,5.0,150,Launceston
250T Grove,78.5m,0T,44.0,,250,Launceston
250T Grove,78.5m,16.5T,44.0,1.7,250,Launceston
250T Grove,78.5m,40T,44.0,4.9,250,Launceston
250T Grove,78.5m,50T,44.0,6.1,250,Launceston
250T Grove,78.5,70T,44.0,8.3,250,Launceston
250T Grove,78.5m,80T,44.0,9.4,250,Launceston
300T Grove,80m,16.5T,44.0,,300,Launceston
300T Grove,80m,35.5T,44.0,4.6,300,Launceston
300T Grove,80m,54.5T,44.0,7.3,300,Launceston
300T Grove,80m,74.5T,44.0,9.3,300,Launceston
300T Grove,80m,92.5T,44.0,11.6,300,Launceston
,,,44.0,,9999,Unknown
2.8T Maeda,8.5m,0,44.0,,2,Hobart
4T Maeda,16.4m,0,44.0,,4,Hobart
13T Kato,24m,0,44.0,,13,Launceston
25T    Kato,31m,0,44.0,,25,Hobart
25T Kato City,29m,0,44.0,,25,Hobart
35T Demag,37.4m,2.5T,44.0,,35,Hobart
35T Demag,37.4m,5.5T,44.0,,35,Hobart
40T Franna,Static,,44.0,,40,Hobart
40T Franna,Mobile,,44.0,,40,Hobart
40T Franna,,,44.0,,40,Hobart
60T Demag,44m,4.6T,44.0,,60,Hobart
60T Demag,44m,11.6T,44.0,,60,Hobart
60T Demag #2,50m,4.7T,44.0,,60,Hobart
60T Demag #2,50m,12.1T,44.0,,60,Hobart
100T Liehbherr,52m,11.5T,44.0,,100,Hobart
100T Liehbherr,52m,35T,44.0,2.8,100,Hobart
220T Tadano,68m,0T,44.0,,220,Hobart
220T Tadano,68m,23.5T,44.0,2.9,220,Hobart
220T Tadano,68m,47T,44.0,6.6,220,Hobart
220T Tadano,68m,71T,44.0,8.3,220,Hobart
250T Grove #2,70m,0T,44.0,,250,Hobart
250T Grove #2,70m,16.5T,44.0,1.2,250,Hobart
250T Grove #2,70m,40T,44.0,4.9,250,Hobart
250T Grove #2,70m,80T,44.0,8.7,250,Hobart
300T Grove,80m,16.5T,44.0,,300,Launceston
300T Grove,80m,35.5T,44.0,4.6,300,Launceston
300T Grove,80m,54.5T,44.0,7.3,300,Launceston
300T Grove,80m,74.5T,44.0,9.3,300,Launceston
300T Grove,80m,92.5T,44.0,11.6,300,Launceston
7T Tadpole,21m,,46.0,,7,Launceston
13T Kato,24m,,46.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,46.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,46.0,,40,Launceston
55T Grove,43m,6.6T,46.0,,55,Launceston
,43m,11.5T C/W,46.0,,9999,Unknown
100T Grove,60m,4.5T C/W,46.0,,100,Launceston
,60m,26.2T,46.0,2.0,9999,Unknown
150T Grove,60m,1T,46.0,,150,Launceston
150T Grove,60m,26.3T,46.0,2.3,150,Launceston
150T Grove,60m,44.56T,46.0,4.4,150,Launceston
250T Grove,78.5m,0T,46.0,,250,Launceston
250T Grove,78.5m,16.5T,46.0,1.3,250,Launceston
250T Grove,78.5m,40T,46.0,4.6,250,Launceston
250T Grove,78.5m,50T,46.0,5.5,250,Launceston
250T Grove,78.5,70T,46.0,7.5,250,Launceston
250T Grove,78.5m,80T,46.0,8.3,250,Launceston
300T Grove,80m,16.5T,46.0,,300,Launceston
300T Grove,80m,35.5T,46.0,4.0,300,Launceston
300T Grove,80m,54.5T,46.0,6.7,300,Launceston
300T Grove,80m,74.5T,46.0,8.5,300,Launceston
300T Grove,80m,92.5T,46.0,10.6,300,Launceston
,,,46.0,,9999,Unknown
2.8T Maeda,8.5m,0,46.0,,2,Hobart
4T Maeda,16.4m,0,46.0,,4,Hobart
13T Kato,24m,0,46.0,,13,Launceston
25T    Kato,31m,0,46.0,,25,Hobart
25T Kato City,29m,0,46.0,,25,Hobart
35T Demag,37.4m,2.5T,46.0,,35,Hobart
35T Demag,37.4m,5.5T,46.0,,35,Hobart
40T Franna,Static,,46.0,,40,Hobart
40T Franna,Mobile,,46.0,,40,Hobart
40T Franna,,,46.0,,40,Hobart
60T Demag,44m,4.6T,46.0,,60,Hobart
60T Demag,44m,11.6T,46.0,,60,Hobart
60T Demag #2,50m,4.7T,46.0,,60,Hobart
60T Demag #2,50m,12.1T,46.0,,60,Hobart
100T Liehbherr,52m,11.5T,46.0,,100,Hobart
100T Liehbherr,52m,35T,46.0,2.5,100,Hobart
220T Tadano,68m,0T,46.0,,220,Hobart
220T Tadano,68m,23.5T,46.0,2.2,220,Hobart
220T Tadano,68m,47T,46.0,5.7,220,Hobart
220T Tadano,68m,71T,46.0,7.6,220,Hobart
250T Grove #2,70m,0T,46.0,,250,Hobart
250T Grove #2,70m,16.5T,46.0,,250,Hobart
250T Grove #2,70m,40T,46.0,4.3,250,Hobart
250T Grove #2,70m,80T,46.0,8.1,250,Hobart
300T Grove,80m,16.5T,46.0,,300,Launceston
300T Grove,80m,35.5T,46.0,4.0,300,Launceston
300T Grove,80m,54.5T,46.0,6.7,300,Launceston
300T Grove,80m,74.5T,46.0,8.5,300,Launceston
300T Grove,80m,92.5T,46.0,10.6,300,Launceston
7T Tadpole,21m,,48.0,,7,Launceston
13T Kato,24m,,48.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,48.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,48.0,,40,Launceston
55T Grove,43m,6.6T,48.0,,55,Launceston
,43m,11.5T C/W,48.0,,9999,Unknown
100T Grove,60m,4.5T C/W,48.0,,100,Launceston
,60m,26.2T,48.0,1.7,9999,Unknown
150T Grove,60m,1T,48.0,,150,Launceston
150T Grove,60m,26.3T,48.0,2.0,150,Launceston
150T Grove,60m,44.56T,48.0,4.0,150,Launceston
250T Grove,78.5m,0T,48.0,,250,Launceston
